title,content,category
RR's Yashasvi Jaiswal smashes fastest fifty in IPL history,"Rajasthan Royals (RR) opener Yashasvi Jaiswal on Thursday broke the record for slamming the fastest fifty in the history of IPL. The 21-year-old reached his half-century off 13 deliveries against Kolkata Knight Riders (KKR) at Eden Gardens in Kolkata. The previous record was jointly held by KL Rahul and Pat Cummins, who had taken 14 deliveries each.





",national
"WhatsApp responds to int'l calls scam, announces new move to cut calls by 50%","WhatsApp has ramped up its AI and machine learning systems to deal with the issue of users receiving spam calls from international numbers. ""Our new enforcement will reduce the current calling rate by at least 50%,"" a WhatsApp spokesperson said. ""By missed call, bad actors lead curious users to call or message back only to get scammed,"" the spokesperson added.",national
"I came home crying, shaved my head: KKR's Suyash Sharma on U-19 trials snub","Talking about not being selected after giving trials for Under-19 last year, KKR's Suyash Sharma said, ""I came home crying and shaved my head."" He added, ""I was quite disappointed. Couldn’t believe despite doing well...this was happening to me."" He further said, “I vowed to work on my skills so much so that one day...they will call me up themselves.""",national
"EVMs never sent to SA, expose source of info: EC tells Congress MP","EC has denied Congress MP Randeep Surjewala's allegation that EVMs used in Karnataka Assembly polls were earlier used in South Africa, saying it has never sent the EVMs there. EC asked him to expose sources of 'false information' so that the party's ""long-standing reputation of a responsible stakeholder of Indian electoral system is not dented"". ",national
"73.19% voter turnout in K'taka poll, new record created: Poll body","Karnataka registered a voter turnout of 73.19% in the Assembly polls, according to the state Chief Electoral Office's figures released on Thursday. ""Karnataka has created a new record for itself,"" it added. Chikkaballapur district recorded the highest voter turnout of 85.56%, followed by Bengaluru Rural at 85.08%. The lowest voter turnout was reported in BBMP (South) limits at 52.33%.",national
"2 killed in shooting at Mercedes plant in Germany, suspect held","Two persons were killed in a shooting inside a Mercedes-Benz plant in Germany's Sindelfingen. The 53-year-old suspect has been arrested by police. Production at one of the company's factory halls in Sindelfingen has been suspended until the end of the week. The gunman and the two victims belonged to an external services provider, Mercedes said reacting to the shooting.",national
HC sets up SIT to probe rape & murder of teen girl in West Bengal,"The Calcutta High Court on Thursday set up a special investigation team (SIT) to probe the alleged rape and murder of a teenage girl in West Bengal's Uttar Dinajpur that had triggered violent protests in the area in April. ""We wanted a CBI probe. We're not satisfied with the high court's order of an SIT investigation,"" the girl's grandfather said.",national
Decision to protect people of WB: TMC on banning 'Kerala Story',"TMC leader Madan Mitra on Thursday said 'The Kerala Story' was banned in West Bengal to protect the people of the state. ""Mamata Banerjee has no resentment against 'The Kerala Story', but after some incidents in...the country, the decision...[was taken] for maintaining law and order,"" he said. On Wednesday, BJP workers protested in Siliguri against the ban on the movie.",national
"Pathirana's brutal at 20, I hadn't understood bowling then: Bishop","Ex-West Indies pacer Ian Bishop said CSK pacer Matheesha Pathirana is ""exciting as heck"" at the age of 20, adding that the delivery bowled by Pathirana to dismiss DC's Manish Pandey recently was ""brutal"". ""What was I doing at 20? I didn't understand bowling [then],"" stated Bishop. ""I haven't seen Pathirana look intimidated so far this season,"" he said.",national
"Yelled as loud as I can, everyone only heard 'Dhoni, Dhoni': Boult","RR's Trent Boult said he tried to yell as loudly as he could during his team's huddle before taking the field in the recent IPL 2023 match against CSK. ""Everyone could only hear, 'Dhoni, Dhoni' getting screamed across the ground,"" added Boult. The pacer termed Sanju Samson as ""quite funny"", adding that Yuzvendra Chahal's the heartbeat of their dressing room.",national
